Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary
pima-withheaders,2,1,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02005090245E7,691.0,77.0,50.0,27.0,0.0,64.93506493506493,35.064935064935064,0.0,0.0,0.45495774067202555,0.47717550837370526,100.0,100.0,71.96830017538248,71.96830017538248,0.0,0.9346532490309413,0.9346532490309413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,27.0,NaN,0.0,NaN,NaN,0.5,0.35064935064935066,0.6493506493506493,0.6493506493506493,0.35064935064935066,0.35064935064935066,NaN,0.6493506493506493,NaN,NaN,0.5,0.5446112329229211,NaN,0.6493506493506493,0.0,0.0,2.8E-5,1.7999999999999997E-5,0.028,0.018,892.0,71476.0,9462.0,100.0,100.0,?
pima-withheaders,2,2,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02005090245E7,691.0,77.0,50.0,27.0,0.0,64.93506493506493,35.064935064935064,0.0,0.0,0.45495774067202555,0.47717550837370526,100.0,100.0,71.96830017538248,71.96830017538248,0.0,0.9346532490309413,0.9346532490309413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,27.0,NaN,0.0,NaN,NaN,0.5,0.35064935064935066,0.6493506493506493,0.6493506493506493,0.35064935064935066,0.35064935064935066,NaN,0.6493506493506493,NaN,NaN,0.5,0.5446112329229211,NaN,0.6493506493506493,0.0,0.0,3.2E-5,1.7E-5,0.032,0.017,892.0,71476.0,9462.0,100.0,100.0,?
pima-withheaders,2,3,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02005090245E7,691.0,77.0,50.0,27.0,0.0,64.93506493506493,35.064935064935064,0.0,0.0,0.45495774067202555,0.47717550837370526,100.0,100.0,71.96830017538248,71.96830017538248,0.0,0.9346532490309413,0.9346532490309413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,27.0,NaN,0.0,NaN,NaN,0.5,0.35064935064935066,0.6493506493506493,0.6493506493506493,0.35064935064935066,0.35064935064935066,NaN,0.6493506493506493,NaN,NaN,0.5,0.5446112329229211,NaN,0.6493506493506493,0.0,0.0,2.9E-5,1.7E-5,0.029,0.017,892.0,71476.0,9462.0,100.0,100.0,?
pima-withheaders,2,4,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02005090245E7,691.0,77.0,50.0,27.0,0.0,64.93506493506493,35.064935064935064,0.0,0.0,0.45495774067202555,0.47717550837370526,100.0,100.0,71.96830017538248,71.96830017538248,0.0,0.9346532490309413,0.9346532490309413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,27.0,NaN,0.0,NaN,NaN,0.5,0.35064935064935066,0.6493506493506493,0.6493506493506493,0.35064935064935066,0.35064935064935066,NaN,0.6493506493506493,NaN,NaN,0.5,0.5446112329229211,NaN,0.6493506493506493,0.0,0.0,2.9E-5,1.7E-5,0.029,0.017,892.0,71476.0,9462.0,100.0,100.0,?
pima-withheaders,2,5,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02005090245E7,691.0,77.0,50.0,27.0,0.0,64.93506493506493,35.064935064935064,0.0,0.0,0.45495774067202555,0.47717550837370526,100.0,100.0,71.96830017538248,71.96830017538248,0.0,0.9346532490309413,0.9346532490309413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,27.0,NaN,0.0,NaN,NaN,0.5,0.35064935064935066,0.6493506493506493,0.6493506493506493,0.35064935064935066,0.35064935064935066,NaN,0.6493506493506493,NaN,NaN,0.5,0.5446112329229211,NaN,0.6493506493506493,0.0,0.0,2.8E-5,1.7E-5,0.028,0.017,892.0,71476.0,9462.0,100.0,100.0,?
pima-withheaders,2,6,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02005090245E7,691.0,77.0,50.0,27.0,0.0,64.93506493506493,35.064935064935064,0.0,0.0,0.45495774067202555,0.47717550837370526,100.0,100.0,71.96830017538248,71.96830017538248,0.0,0.9346532490309413,0.9346532490309413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,27.0,NaN,0.0,NaN,NaN,0.5,0.35064935064935066,0.6493506493506493,0.6493506493506493,0.35064935064935066,0.35064935064935066,NaN,0.6493506493506493,NaN,NaN,0.5,0.5446112329229211,NaN,0.6493506493506493,0.0,0.0,3.3E-5,1.7999999999999997E-5,0.033,0.018,892.0,71476.0,9462.0,100.0,100.0,?
pima-withheaders,2,7,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02005090245E7,691.0,77.0,50.0,27.0,0.0,64.93506493506493,35.064935064935064,0.0,0.0,0.45495774067202555,0.47717550837370526,100.0,100.0,71.96830017538248,71.96830017538248,0.0,0.9346532490309413,0.9346532490309413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,27.0,NaN,0.0,NaN,NaN,0.5,0.35064935064935066,0.6493506493506493,0.6493506493506493,0.35064935064935066,0.35064935064935066,NaN,0.6493506493506493,NaN,NaN,0.5,0.5446112329229211,NaN,0.6493506493506493,0.0,0.0,3.1E-5,1.7999999999999997E-5,0.031,0.018,892.0,71476.0,9462.0,100.0,100.0,?
pima-withheaders,2,8,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02005090245E7,691.0,77.0,50.0,27.0,0.0,64.93506493506493,35.064935064935064,0.0,0.0,0.45495774067202555,0.47717550837370526,100.0,100.0,71.96830017538248,71.96830017538248,0.0,0.9346532490309413,0.9346532490309413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,27.0,NaN,0.0,NaN,NaN,0.5,0.35064935064935066,0.6493506493506493,0.6493506493506493,0.35064935064935066,0.35064935064935066,NaN,0.6493506493506493,NaN,NaN,0.5,0.5446112329229211,NaN,0.6493506493506493,0.0,0.0,2.9999999999999997E-5,1.7E-5,0.03,0.017,892.0,71476.0,9462.0,100.0,100.0,?
pima-withheaders,2,9,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02005090245E7,692.0,76.0,50.0,26.0,0.0,65.78947368421052,34.21052631578947,0.0,0.0,0.4526770817533737,0.4744827445231662,100.0,100.0,70.45387453942848,70.45387453942848,0.0,0.92702466499248,0.92702466499248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,26.0,NaN,0.0,NaN,NaN,0.5,0.34210526315789475,0.6578947368421053,0.6578947368421053,0.34210526315789475,0.34210526315789475,NaN,0.6578947368421053,NaN,NaN,0.5,0.5498614958448754,NaN,0.6578947368421053,0.0,0.0,2.8E-5,1.7E-5,0.028,0.017,892.0,71577.0,9361.0,100.0,100.0,?
pima-withheaders,2,10,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02005090245E7,692.0,76.0,50.0,26.0,0.0,65.78947368421052,34.21052631578947,0.0,0.0,0.4526770817533737,0.4744827445231662,100.0,100.0,70.45387453942848,70.45387453942848,0.0,0.92702466499248,0.92702466499248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,26.0,NaN,0.0,NaN,NaN,0.5,0.34210526315789475,0.6578947368421053,0.6578947368421053,0.34210526315789475,0.34210526315789475,NaN,0.6578947368421053,NaN,NaN,0.5,0.5498614958448754,NaN,0.6578947368421053,0.0,0.0,3.5000000000000004E-5,2.1000000000000002E-5,0.035,0.021,892.0,71577.0,9361.0,100.0,100.0,?
pima-withheaders,3,1,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02005090245E7,691.0,77.0,50.0,27.0,0.0,64.93506493506493,35.064935064935064,0.0,0.0,0.45495774067202555,0.47717550837370526,100.0,100.0,71.96830017538248,71.96830017538248,0.0,0.9346532490309413,0.9346532490309413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,27.0,NaN,0.0,NaN,NaN,0.5,0.35064935064935066,0.6493506493506493,0.6493506493506493,0.35064935064935066,0.35064935064935066,NaN,0.6493506493506493,NaN,NaN,0.5,0.5446112329229211,NaN,0.6493506493506493,0.0,0.0,3.2E-5,1.7E-5,0.032,0.017,892.0,71476.0,9462.0,100.0,100.0,?
pima-withheaders,3,2,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02005090245E7,691.0,77.0,50.0,27.0,0.0,64.93506493506493,35.064935064935064,0.0,0.0,0.45495774067202555,0.47717550837370526,100.0,100.0,71.96830017538248,71.96830017538248,0.0,0.9346532490309413,0.9346532490309413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,27.0,NaN,0.0,NaN,NaN,0.5,0.35064935064935066,0.6493506493506493,0.6493506493506493,0.35064935064935066,0.35064935064935066,NaN,0.6493506493506493,NaN,NaN,0.5,0.5446112329229211,NaN,0.6493506493506493,0.0,0.0,6.500000000000001E-5,3.3E-5,0.065,0.033,892.0,71476.0,9462.0,100.0,100.0,?
pima-withheaders,3,3,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02005090245E7,691.0,77.0,50.0,27.0,0.0,64.93506493506493,35.064935064935064,0.0,0.0,0.45495774067202555,0.47717550837370526,100.0,100.0,71.96830017538248,71.96830017538248,0.0,0.9346532490309413,0.9346532490309413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,27.0,NaN,0.0,NaN,NaN,0.5,0.35064935064935066,0.6493506493506493,0.6493506493506493,0.35064935064935066,0.35064935064935066,NaN,0.6493506493506493,NaN,NaN,0.5,0.5446112329229211,NaN,0.6493506493506493,0.0,0.0,3.5000000000000004E-5,2.2E-5,0.035,0.022,892.0,71476.0,9462.0,100.0,100.0,?
pima-withheaders,3,4,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02005090245E7,691.0,77.0,50.0,27.0,0.0,64.93506493506493,35.064935064935064,0.0,0.0,0.45495774067202555,0.47717550837370526,100.0,100.0,71.96830017538248,71.96830017538248,0.0,0.9346532490309413,0.9346532490309413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,27.0,NaN,0.0,NaN,NaN,0.5,0.35064935064935066,0.6493506493506493,0.6493506493506493,0.35064935064935066,0.35064935064935066,NaN,0.6493506493506493,NaN,NaN,0.5,0.5446112329229211,NaN,0.6493506493506493,0.0,0.0,2.9E-5,1.7999999999999997E-5,0.029,0.018,892.0,71476.0,9462.0,100.0,100.0,?
pima-withheaders,3,5,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02005090245E7,691.0,77.0,50.0,27.0,0.0,64.93506493506493,35.064935064935064,0.0,0.0,0.45495774067202555,0.47717550837370526,100.0,100.0,71.96830017538248,71.96830017538248,0.0,0.9346532490309413,0.9346532490309413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,27.0,NaN,0.0,NaN,NaN,0.5,0.35064935064935066,0.6493506493506493,0.6493506493506493,0.35064935064935066,0.35064935064935066,NaN,0.6493506493506493,NaN,NaN,0.5,0.5446112329229211,NaN,0.6493506493506493,0.0,0.0,3.2E-5,1.9E-5,0.032,0.019,892.0,71476.0,9462.0,100.0,100.0,?
pima-withheaders,3,6,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02005090245E7,691.0,77.0,50.0,27.0,0.0,64.93506493506493,35.064935064935064,0.0,0.0,0.45495774067202555,0.47717550837370526,100.0,100.0,71.96830017538248,71.96830017538248,0.0,0.9346532490309413,0.9346532490309413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,27.0,NaN,0.0,NaN,NaN,0.5,0.35064935064935066,0.6493506493506493,0.6493506493506493,0.35064935064935066,0.35064935064935066,NaN,0.6493506493506493,NaN,NaN,0.5,0.5446112329229211,NaN,0.6493506493506493,0.0,0.0,3.8E-5,2.4E-5,0.038,0.024,892.0,71476.0,9462.0,100.0,100.0,?
pima-withheaders,3,7,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02005090245E7,691.0,77.0,50.0,27.0,0.0,64.93506493506493,35.064935064935064,0.0,0.0,0.45495774067202555,0.47717550837370526,100.0,100.0,71.96830017538248,71.96830017538248,0.0,0.9346532490309413,0.9346532490309413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,27.0,NaN,0.0,NaN,NaN,0.5,0.35064935064935066,0.6493506493506493,0.6493506493506493,0.35064935064935066,0.35064935064935066,NaN,0.6493506493506493,NaN,NaN,0.5,0.5446112329229211,NaN,0.6493506493506493,0.0,0.0,5.2E-5,2.9E-5,0.052,0.029,892.0,71476.0,9462.0,100.0,100.0,?
pima-withheaders,3,8,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02005090245E7,691.0,77.0,50.0,27.0,0.0,64.93506493506493,35.064935064935064,0.0,0.0,0.45495774067202555,0.47717550837370526,100.0,100.0,71.96830017538248,71.96830017538248,0.0,0.9346532490309413,0.9346532490309413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,27.0,NaN,0.0,NaN,NaN,0.5,0.35064935064935066,0.6493506493506493,0.6493506493506493,0.35064935064935066,0.35064935064935066,NaN,0.6493506493506493,NaN,NaN,0.5,0.5446112329229211,NaN,0.6493506493506493,0.0,0.0,3.2E-5,1.9E-5,0.032,0.019,892.0,71476.0,9462.0,100.0,100.0,?
pima-withheaders,3,9,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02005090245E7,692.0,76.0,50.0,26.0,0.0,65.78947368421052,34.21052631578947,0.0,0.0,0.4526770817533737,0.4744827445231662,100.0,100.0,70.45387453942848,70.45387453942848,0.0,0.92702466499248,0.92702466499248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,26.0,NaN,0.0,NaN,NaN,0.5,0.34210526315789475,0.6578947368421053,0.6578947368421053,0.34210526315789475,0.34210526315789475,NaN,0.6578947368421053,NaN,NaN,0.5,0.5498614958448754,NaN,0.6578947368421053,0.0,0.0,2.0E-4,8.999999999999999E-5,0.2,0.09,892.0,71577.0,9361.0,100.0,100.0,?
pima-withheaders,3,10,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02005090245E7,692.0,76.0,50.0,26.0,0.0,65.78947368421052,34.21052631578947,0.0,0.0,0.4526770817533737,0.4744827445231662,100.0,100.0,70.45387453942848,70.45387453942848,0.0,0.92702466499248,0.92702466499248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,26.0,NaN,0.0,NaN,NaN,0.5,0.34210526315789475,0.6578947368421053,0.6578947368421053,0.34210526315789475,0.34210526315789475,NaN,0.6578947368421053,NaN,NaN,0.5,0.5498614958448754,NaN,0.6578947368421053,0.0,0.0,3.8E-5,2.9E-5,0.038,0.029,892.0,71577.0,9361.0,100.0,100.0,?
pima-withheaders,4,1,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02005090245E7,691.0,77.0,50.0,27.0,0.0,64.93506493506493,35.064935064935064,0.0,0.0,0.45495774067202555,0.47717550837370526,100.0,100.0,71.96830017538248,71.96830017538248,0.0,0.9346532490309413,0.9346532490309413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,27.0,NaN,0.0,NaN,NaN,0.5,0.35064935064935066,0.6493506493506493,0.6493506493506493,0.35064935064935066,0.35064935064935066,NaN,0.6493506493506493,NaN,NaN,0.5,0.5446112329229211,NaN,0.6493506493506493,0.0,0.0,3.9E-5,3.4E-5,0.039,0.034,892.0,71476.0,9462.0,100.0,100.0,?
pima-withheaders,4,2,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02005090245E7,691.0,77.0,50.0,27.0,0.0,64.93506493506493,35.064935064935064,0.0,0.0,0.45495774067202555,0.47717550837370526,100.0,100.0,71.96830017538248,71.96830017538248,0.0,0.9346532490309413,0.9346532490309413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,27.0,NaN,0.0,NaN,NaN,0.5,0.35064935064935066,0.6493506493506493,0.6493506493506493,0.35064935064935066,0.35064935064935066,NaN,0.6493506493506493,NaN,NaN,0.5,0.5446112329229211,NaN,0.6493506493506493,0.0,0.0,3.4E-5,2.3E-5,0.034,0.023,892.0,71476.0,9462.0,100.0,100.0,?
pima-withheaders,4,3,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02005090245E7,691.0,77.0,50.0,27.0,0.0,64.93506493506493,35.064935064935064,0.0,0.0,0.45495774067202555,0.47717550837370526,100.0,100.0,71.96830017538248,71.96830017538248,0.0,0.9346532490309413,0.9346532490309413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,27.0,NaN,0.0,NaN,NaN,0.5,0.35064935064935066,0.6493506493506493,0.6493506493506493,0.35064935064935066,0.35064935064935066,NaN,0.6493506493506493,NaN,NaN,0.5,0.5446112329229211,NaN,0.6493506493506493,0.0,0.0,6.2E-5,1.1999999999999999E-4,0.062,0.12,892.0,71476.0,9462.0,100.0,100.0,?
